Question,Intent,Answer
largest planet solar system,Planet_Info,Jupiter
enceinte planet solar system,Planet_Info,Jupiter
expectant planet solar system,Planet_Info,Jupiter
heavy planet solar system,Planet_Info,Jupiter
tumid planet solar system,Planet_Info,Jupiter
with child planet solar system,Planet_Info,Jupiter
turgid planet solar system,Planet_Info,Jupiter
orotund planet solar system,Planet_Info,Jupiter
magnanimous planet solar system,Planet_Info,Jupiter
prominent planet solar system,Planet_Info,Jupiter
gravid planet solar system,Planet_Info,Jupiter
bombastic planet solar system,Planet_Info,Jupiter
big planet solar system,Planet_Info,Jupiter
declamatory planet solar system,Planet_Info,Jupiter
great planet solar system,Planet_Info,Jupiter
large planet solar system,Planet_Info,Jupiter
largest major planet solar system,Planet_Info,Jupiter
largest satellite solar system,Planet_Info,Jupiter
largest planet solar arrangement,Planet_Info,Jupiter
largest planet solar scheme,Planet_Info,Jupiter
largest planet solar organization,Planet_Info,Jupiter
largest planet solar organisation,Planet_Info,Jupiter
largest planet solar system of rules,Planet_Info,Jupiter
planet known hottest,Planet_Info,Venus
major planet known hottest,Planet_Info,Venus
satellite known hottest,Planet_Info,Venus
planet lie with hottest,Planet_Info,Venus
planet cognise hottest,Planet_Info,Venus
planet live hottest,Planet_Info,Venus
planet eff hottest,Planet_Info,Venus
planet have it away hottest,Planet_Info,Venus
planet get it on hottest,Planet_Info,Venus
planet experience hottest,Planet_Info,Venus
planet fuck hottest,Planet_Info,Venus
planet sleep with hottest,Planet_Info,Venus
planet sleep together hottest,Planet_Info,Venus
planet have sex hottest,Planet_Info,Venus
planet make out hottest,Planet_Info,Venus
planet bonk hottest,Planet_Info,Venus
planet have it off hottest,Planet_Info,Venus
planet bed hottest,Planet_Info,Venus
planet roll in the hay hottest,Planet_Info,Venus
planet be intimate hottest,Planet_Info,Venus
planet have intercourse hottest,Planet_Info,Venus
planet know hottest,Planet_Info,Venus
planet acknowledge hottest,Planet_Info,Venus
planet recognise hottest,Planet_Info,Venus
planet recognize hottest,Planet_Info,Venus
planet hump hottest,Planet_Info,Venus
planet get laid hottest,Planet_Info,Venus
planet cognize hottest,Planet_Info,Venus
planet jazz hottest,Planet_Info,Venus
planet have a go at it hottest,Planet_Info,Venus
planet screw hottest,Planet_Info,Venus
planet do it hottest,Planet_Info,Venus
planet make love hottest,Planet_Info,Venus
planet love hottest,Planet_Info,Venus
planet bang hottest,Planet_Info,Venus
planet known raging,Planet_Info,Venus
planet known red-hot,Planet_Info,Venus
planet known hot,Planet_Info,Venus
planet known live,Planet_Info,Venus
planet known blistering,Planet_Info,Venus
planet known spicy,Planet_Info,Venus
farthest planet sun,Planet_Info,Neptune
furthermost planet sun,Planet_Info,Neptune
uttermost planet sun,Planet_Info,Neptune
utmost planet sun,Planet_Info,Neptune
farthermost planet sun,Planet_Info,Neptune
furthest planet sun,Planet_Info,Neptune
farthest major planet sun,Planet_Info,Neptune
farthest satellite sun,Planet_Info,Neptune
farthest planet Sunday,Planet_Info,Neptune
farthest planet Lord's Day,Planet_Info,Neptune
farthest planet Dominicus,Planet_Info,Neptune
farthest planet insolate,Planet_Info,Neptune
farthest planet solarize,Planet_Info,Neptune
farthest planet sunshine,Planet_Info,Neptune
farthest planet solarise,Planet_Info,Neptune
farthest planet sunlight,Planet_Info,Neptune
farthest planet Sun,Planet_Info,Neptune
farthest planet sunbathe,Planet_Info,Neptune
planet moon,Planet_Info,Jupiter
satellite moon,Planet_Info,Jupiter
major planet moon,Planet_Info,Jupiter
planet moon around,Planet_Info,Jupiter
planet daydream,Planet_Info,Jupiter
planet synodic month,Planet_Info,Jupiter
planet lunar month,Planet_Info,Jupiter
planet moonlight,Planet_Info,Jupiter
planet Moon,Planet_Info,Jupiter
planet moonshine,Planet_Info,Jupiter
planet Sun Myung Moon,Planet_Info,Jupiter
planet moon on,Planet_Info,Jupiter
planet lunation,Planet_Info,Jupiter
smallest planet solar system,Planet_Info,Mercury
lowly planet solar system,Planet_Info,Mercury
minor planet solar system,Planet_Info,Mercury
little planet solar system,Planet_Info,Mercury
minuscule planet solar system,Planet_Info,Mercury
pocket-size planet solar system,Planet_Info,Mercury
small planet solar system,Planet_Info,Mercury
low planet solar system,Planet_Info,Mercury
small-scale planet solar system,Planet_Info,Mercury
diminished planet solar system,Planet_Info,Mercury
humble planet solar system,Planet_Info,Mercury
modest planet solar system,Planet_Info,Mercury
pocket-sized planet solar system,Planet_Info,Mercury
belittled planet solar system,Planet_Info,Mercury
smallest major planet solar system,Planet_Info,Mercury
smallest satellite solar system,Planet_Info,Mercury
smallest planet solar system of rules,Planet_Info,Mercury
smallest planet solar arrangement,Planet_Info,Mercury
smallest planet solar organization,Planet_Info,Mercury
smallest planet solar scheme,Planet_Info,Mercury
smallest planet solar organisation,Planet_Info,Mercury
planet closest sun,Planet_Info,Mercury
satellite closest sun,Planet_Info,Mercury
major planet closest sun,Planet_Info,Mercury
planet faithful sun,Planet_Info,Mercury
planet nighest sun,Planet_Info,Mercury
planet nearest sun,Planet_Info,Mercury
planet confining sun,Planet_Info,Mercury
planet snug sun,Planet_Info,Mercury
planet nigh sun,Planet_Info,Mercury
planet cheeseparing sun,Planet_Info,Mercury
planet closemouthed sun,Planet_Info,Mercury
planet unaired sun,Planet_Info,Mercury
planet tight sun,Planet_Info,Mercury
planet close sun,Planet_Info,Mercury
planet airless sun,Planet_Info,Mercury
planet stuffy sun,Planet_Info,Mercury
planet close-fitting sun,Planet_Info,Mercury
planet skinny sun,Planet_Info,Mercury
planet secretive sun,Planet_Info,Mercury
planet tightlipped sun,Planet_Info,Mercury
planet near sun,Planet_Info,Mercury
planet penny-pinching sun,Planet_Info,Mercury
planet closelipped sun,Planet_Info,Mercury
planet closest solarise,Planet_Info,Mercury
planet closest sunbathe,Planet_Info,Mercury
planet closest sunshine,Planet_Info,Mercury
planet closest solarize,Planet_Info,Mercury
planet closest sunlight,Planet_Info,Mercury
planet closest Lord's Day,Planet_Info,Mercury
planet closest Dominicus,Planet_Info,Mercury
planet closest insolate,Planet_Info,Mercury
planet closest Sun,Planet_Info,Mercury
planet closest Sunday,Planet_Info,Mercury
planet ring,Planet_Info,Saturn
satellite ring,Planet_Info,Saturn
major planet ring,Planet_Info,Saturn
planet telephone,Planet_Info,Saturn
planet border,Planet_Info,Saturn
planet phone,Planet_Info,Saturn
planet skirt,Planet_Info,Saturn
planet doughnut,Planet_Info,Saturn
planet call,Planet_Info,Saturn
planet band,Planet_Info,Saturn
planet ringing,Planet_Info,Saturn
planet closed chain,Planet_Info,Saturn
planet hoop,Planet_Info,Saturn
planet environ,Planet_Info,Saturn
planet echo,Planet_Info,Saturn
planet peal,Planet_Info,Saturn
planet pack,Planet_Info,Saturn
planet surround,Planet_Info,Saturn
planet mob,Planet_Info,Saturn
planet reverberate,Planet_Info,Saturn
planet call up,Planet_Info,Saturn
planet anchor ring,Planet_Info,Saturn
planet annulus,Planet_Info,Saturn
planet knell,Planet_Info,Saturn
planet gang,Planet_Info,Saturn
planet resound,Planet_Info,Saturn
planet tintinnabulation,Planet_Info,Saturn
planet halo,Planet_Info,Saturn
planet longest day,Planet_Info,Venus
major planet longest day,Planet_Info,Venus
satellite longest day,Planet_Info,Venus
planet prospicient day,Planet_Info,Venus
planet retentive day,Planet_Info,Venus
planet tenacious day,Planet_Info,Venus
planet farseeing day,Planet_Info,Venus
planet foresighted day,Planet_Info,Venus
planet recollective day,Planet_Info,Venus
planet farsighted day,Planet_Info,Venus
planet longsighted day,Planet_Info,Venus
planet long day,Planet_Info,Venus
planet foresightful day,Planet_Info,Venus
planet longest sidereal day,Planet_Info,Venus
planet longest twenty-four hours,Planet_Info,Venus
planet longest Clarence Shepard Day Jr.,Planet_Info,Venus
planet longest daylight,Planet_Info,Venus
planet longest Day,Planet_Info,Venus
planet longest Clarence Day,Planet_Info,Venus
planet longest twenty-four hour period,Planet_Info,Venus
planet longest mean solar day,Planet_Info,Venus
planet longest 24-hour interval,Planet_Info,Venus
planet longest solar day,Planet_Info,Venus
planet longest daytime,Planet_Info,Venus
planet strongest magnetic field,Planet_Info,Jupiter
major planet strongest magnetic field,Planet_Info,Jupiter
satellite strongest magnetic field,Planet_Info,Jupiter
planet warm magnetic field,Planet_Info,Jupiter
planet unassailable magnetic field,Planet_Info,Jupiter
planet potent magnetic field,Planet_Info,Jupiter
planet impregnable magnetic field,Planet_Info,Jupiter
planet unattackable magnetic field,Planet_Info,Jupiter
planet substantial magnetic field,Planet_Info,Jupiter
planet stiff magnetic field,Planet_Info,Jupiter
planet hard magnetic field,Planet_Info,Jupiter
planet solid magnetic field,Planet_Info,Jupiter
planet strong magnetic field,Planet_Info,Jupiter
planet inviolable magnetic field,Planet_Info,Jupiter
planet firm magnetic field,Planet_Info,Jupiter
planet secure magnetic field,Planet_Info,Jupiter
planet strongest charismatic field,Planet_Info,Jupiter
planet strongest magnetized field,Planet_Info,Jupiter
planet strongest magnetised field,Planet_Info,Jupiter
planet strongest magnetic plain,Planet_Info,Jupiter
planet strongest magnetic discipline,Planet_Info,Jupiter
planet strongest magnetic battleground,Planet_Info,Jupiter
planet strongest magnetic subject,Planet_Info,Jupiter
planet strongest magnetic arena,Planet_Info,Jupiter
planet strongest magnetic line of business,Planet_Info,Jupiter
planet strongest magnetic theatre,Planet_Info,Jupiter
planet strongest magnetic subject field,Planet_Info,Jupiter
planet strongest magnetic field of view,Planet_Info,Jupiter
planet strongest magnetic landing field,Planet_Info,Jupiter
planet strongest magnetic sphere,Planet_Info,Jupiter
planet strongest magnetic battlefield,Planet_Info,Jupiter
planet strongest magnetic domain,Planet_Info,Jupiter
planet strongest magnetic force field,Planet_Info,Jupiter
planet strongest magnetic bailiwick,Planet_Info,Jupiter
planet strongest magnetic airfield,Planet_Info,Jupiter
planet strongest magnetic field of battle,Planet_Info,Jupiter
planet strongest magnetic field of operations,Planet_Info,Jupiter
planet strongest magnetic orbit,Planet_Info,Jupiter
planet strongest magnetic theater of operations,Planet_Info,Jupiter
planet strongest magnetic flying field,Planet_Info,Jupiter
planet strongest magnetic athletic field,Planet_Info,Jupiter
planet volcano,Planet_Info,Venus
major planet volcano,Planet_Info,Venus
satellite volcano,Planet_Info,Venus
planet vent,Planet_Info,Venus
planet known great red spot,Planet_Info,Jupiter
major planet known great red spot,Planet_Info,Jupiter
satellite known great red spot,Planet_Info,Jupiter
planet get it on great red spot,Planet_Info,Jupiter
planet sleep together great red spot,Planet_Info,Jupiter
planet acknowledge great red spot,Planet_Info,Jupiter
planet eff great red spot,Planet_Info,Jupiter
planet roll in the hay great red spot,Planet_Info,Jupiter
planet have intercourse great red spot,Planet_Info,Jupiter
planet recognise great red spot,Planet_Info,Jupiter
planet hump great red spot,Planet_Info,Jupiter
planet screw great red spot,Planet_Info,Jupiter
planet sleep with great red spot,Planet_Info,Jupiter
planet make out great red spot,Planet_Info,Jupiter
planet recognize great red spot,Planet_Info,Jupiter
planet have sex great red spot,Planet_Info,Jupiter
planet love great red spot,Planet_Info,Jupiter
planet bed great red spot,Planet_Info,Jupiter
planet bang great red spot,Planet_Info,Jupiter
planet do it great red spot,Planet_Info,Jupiter
planet make love great red spot,Planet_Info,Jupiter
planet fuck great red spot,Planet_Info,Jupiter
planet jazz great red spot,Planet_Info,Jupiter
planet have it off great red spot,Planet_Info,Jupiter
planet know great red spot,Planet_Info,Jupiter
planet lie with great red spot,Planet_Info,Jupiter
planet cognise great red spot,Planet_Info,Jupiter
planet be intimate great red spot,Planet_Info,Jupiter
planet get laid great red spot,Planet_Info,Jupiter
planet cognize great red spot,Planet_Info,Jupiter
planet live great red spot,Planet_Info,Jupiter
planet have a go at it great red spot,Planet_Info,Jupiter
planet have it away great red spot,Planet_Info,Jupiter
planet experience great red spot,Planet_Info,Jupiter
planet bonk great red spot,Planet_Info,Jupiter
planet known dandy red spot,Planet_Info,Jupiter
