Intent,Question,Answer
Planet_Info,What is the largest planet in our solar system?,Jupiter
Planet_Info,Which planet is known for being the hottest?,Venus
Planet_Info,What is the farthest planet from the Sun?,Neptune
Planet_Info,Which planet has the most moons?,Jupiter
Planet_Info,What is the smallest planet in our solar system?,Mercury
Planet_Info,Which planet is closest to the Sun?,Mercury
Planet_Info,What is the planet with the most rings?,Saturn
Planet_Info,Which planet has the longest day?,Venus
Planet_Info,What is the planet with the strongest magnetic field?,Jupiter
Planet_Info,Which planet has the most volcanoes?,Venus
Planet_Info,Which planet is known for its Great Red Spot?,Jupiter
Planet_Info,What is the atmosphere of Mars primarily composed of?,Carbon dioxide
Planet_Info,Which planet has the most extreme temperature variations?,Mercury
Planet_Info,What is the composition of Saturn's rings?,Ice and rock particles
Distance_Info,How far is Earth from the Sun?,93 million miles (150 million kilometers)
Distance_Info,What is the distance from Jupiter to the Sun?,484 million miles (778 million kilometers)
Distance_Info,How far is Neptune from the Sun?,2.8 billion miles (4.5 billion kilometers)
Distance_Info,How far is Pluto from the Sun?,3.7 billion miles (5.9 billion kilometers)
Distance_Info,How far is Mars from Earth?,Approximately 34 million miles (55 million kilometers)
Moon_Info,How many moons does Earth have?,1
Moon_Info,Which planet has the most moons?,Jupiter
Moon_Info,What is the largest moon in our solar system?,"Ganymede, a moon of Jupiter"
Moon_Info,How many moons does Mars have?,2 - Phobos and Deimos
Moon_Info,Which moon of Jupiter is known for its volcanic activity?,Io
Moon_Info,Which moon of Saturn is larger than Mercury?,Titan
Moon_Info,What is the largest crater on the Moon?,Aitken Basin
Dwarf_Planet_Info,What is the largest dwarf planet?,Pluto
Dwarf_Planet_Info,What are the known dwarf planets in the solar system?,"Pluto, Eris, Haumea, Makemake, and Ceres"
Dwarf_Planet_Info,Which dwarf planet is located in the asteroid belt?,Ceres
Dwarf_Planet_Info,Which dwarf planet is the farthest from the Sun?,Eris
Satellite_Info,What was the first artificial satellite?,"Sputnik 1, launched by the Soviet Union in 1957"
Satellite_Info,Which was the first satellite launched by NASA?,"Explorer 1, launched in 1958"
Satellite_Info,What is the most famous space telescope?,The Hubble Space Telescope
Satellite_Info,Which satellite was the first to reach Pluto?,NASA's New Horizons
Satellite_Info,What is the name of the satellite that orbits Jupiter?,Juno
Milky_Way_Info,What is the Milky Way?,The Milky Way is the galaxy that contains our solar system
Milky_Way_Info,How many stars are there in the Milky Way?,Approximately 100 to 400 billion stars
Milky_Way_Info,What is at the center of the Milky Way?,A supermassive black hole called Sagittarius A*
Milky_Way_Info,How large is the Milky Way?,"It is about 100,000 light-years in diameter"
Black_Hole_Info,What is a black hole?,"A black hole is a region of space where gravity is so strong that nothing, not even light, can escape from it"
Black_Hole_Info,What happens when something falls into a black hole?,"It is pulled in by the extreme gravitational force, and cannot escape"
Black_Hole_Info,What is the largest type of black hole?,"A supermassive black hole, found at the center of most galaxies"
Constellation_Info,What is a constellation?,A constellation is a group of stars that form a recognizable pattern
Constellation_Info,What are some well-known constellations?,"Orion, Ursa Major, and Cassiopeia"
Constellation_Info,Which constellation is known as the Big Dipper?,Ursa Major
Constellation_Info,Which constellation contains the North Star?,"Ursa Minor, which contains Polaris, the North Star"
Solar_System_Facts,Tell me a fact about the solar system,Jupiter's moon Ganymede is larger than the planet Mercury
Solar_System_Facts,What is a unique feature of Saturn?,Saturn has the most extensive ring system of any planet
Solar_System_Facts,What is an interesting fact about the solar system?,"Uranus rotates on its side, unlike any other planet"
Asteroid_Belt_Info,What is the asteroid belt?,The asteroid belt is a region between Mars and Jupiter where most asteroids are found
Asteroid_Belt_Info,Where is the asteroid belt located?,Between the orbits of Mars and Jupiter
Asteroid_Belt_Info,What is the largest object in the asteroid belt?,"Ceres, a dwarf planet"
Asteroid_Belt_Info,How big are asteroids in the asteroid belt?,They vary in size from tiny particles to hundreds of kilometers in diameter
Asteroid_Info,What is an asteroid?,An asteroid is a small rocky body that orbits the Sun
Asteroid_Info,How are asteroids different from planets?,Asteroids are much smaller than planets and lack atmospheres
Asteroid_Info,Where do most asteroids in the solar system orbit?,Most asteroids orbit within the asteroid belt between Mars and Jupiter
Asteroid_Info,What is the difference between an asteroid and a meteoroid?,"Asteroids are larger rocky bodies in space, while meteoroids are smaller fragments or debris"
Asteroid_Info,What are near-Earth asteroids?,Near-Earth asteroids are asteroids that have orbits that come close to Earth
Meteoroid_Info,What is a meteoroid?,"A meteoroid is a small rock or particle in space, often debris from comets or asteroids"
Meteoroid_Info,What is a meteor?,"A meteor is a meteoroid that enters Earth's atmosphere and burns up, producing a streak of light"
Meteoroid_Info,What is a meteorite?,A meteorite is a meteoroid that survives its journey through the atmosphere and lands on Earth's surface
Meteoroid_Info,What causes a meteor shower?,"Meteor showers occur when Earth passes through debris left by comets, causing many meteors to burn up in the atmosphere"
Special_Events,What is a solar eclipse?,"A solar eclipse occurs when the Moon passes between the Earth and the Sun, blocking the Sun's light either partially or fully"
Special_Events,How often do solar eclipses happen?,"On average, a solar eclipse happens somewhere on Earth about every 18 months"
Special_Events,What is a lunar eclipse?,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, causing the Earth's shadow to cover the Moon"
Special_Events,What is a supermoon?,A supermoon occurs when a full moon coincides with the Moon being at its closest point to Earth in its orbit
Special_Events,What is a planetary alignment?,A planetary alignment occurs when several planets appear to line up in the sky from Earth's perspective
Special_Events,How often do planetary alignments occur?,"Large planetary alignments, where many planets are visible at once, are rare and can occur every few decades"
Special_Events,What is a meteor shower?,"A meteor shower happens when Earth passes through the debris left by a comet, causing many meteors to be visible in the sky"
